Date,Close,Predictions,Growth,Growth Percent
2021-11-25,7420.0,7081.8257,,
2021-11-26,7420.0,7128.354,-1.0,-3.930539030913073
2021-11-27,7430.0,7174.6924,-1.0,-3.3060325766509435
2021-11-28,7770.0,7218.045,-1.0,-2.8526928415208612
2021-11-29,8070.0,7283.5815,-1.0,-6.260211802203989
2021-11-30,7790.0,7383.2275,-1.0,-8.510191585346965
2021-12-01,7430.0,7475.2134,-1.0,-4.040906560895379
2021-12-02,7430.0,7525.6333,1.0,1.287123832856662
2021-12-03,7430.0,7544.05,1.0,1.5349906418236878
2021-12-04,7140.0,7539.0864,1.0,1.4681887722913864
2021-12-05,7070.0,7494.8623,1.0,4.970060289740896
2021-12-06,7180.0,7421.9736,1.0,4.978410647984441
2021-12-07,6890.0,7344.2417,1.0,2.287488847057799
2021-12-08,7200.0,7245.5728,1.0,5.160707603864296
2021-12-09,7200.0,7165.8228,0.0,-0.4746839735243056
2021-12-10,7200.0,7104.772,-1.0,-1.3226114908854165
2021-12-11,6950.0,7061.221,-1.0,-1.927483452690972
2021-12-12,6610.0,7012.7354,1.0,0.9026669289568346
2021-12-13,6320.0,6937.4404,1.0,4.95371300586233
2021-12-14,6070.0,6826.74,1.0,8.018041683148734
2021-12-15,6290.0,6680.8286,1.0,10.063074353892091
2021-12-16,6290.0,6540.3354,1.0,3.9798958540341816
2021-12-17,6290.0,6414.317,1.0,1.9764212167130364
2021-12-18,6600.0,6308.0615,0.0,0.2871466365262321
2021-12-19,6740.0,6248.408,-1.0,-5.3271484375
2021-12-20,6760.0,6236.173,-1.0,-7.475180243879823
2021-12-21,7020.0,6258.854,-1.0,-7.413402309079142
2021-12-22,7320.0,6324.5864,-1.0,-9.906176270922366
2021-12-23,7320.0,6438.6885,-1.0,-12.039774910348362
2021-12-24,7320.0,6576.949,-1.0,-10.150966956967213
2021-12-25,7470.0,6721.165,-1.0,-8.180805477288251
2021-12-26,7530.0,6870.5044,-1.0,-8.02537624456158
2021-12-27,7890.0,7016.552,-1.0,-6.818701755478088
2021-12-28,8210.0,7178.2935,-1.0,-9.02036176132763
2021-12-29,8450.0,7364.0044,-1.0,-10.304453172579171
2021-12-30,8450.0,7571.047,-1.0,-10.401812130177515
2021-12-31,8450.0,7776.2925,-1.0,-7.972870053624261
2022-01-01,8060.0,7964.173,-1.0,-5.7494337093195265
2022-01-02,8290.0,8093.102,0.0,0.41069541912220847
2022-01-03,8370.0,8190.8525,-1.0,-1.1959886723462
2022-01-04,8000.0,8265.67,-1.0,-1.2464764411589009
2022-01-05,7940.0,8288.069,1.0,3.60086669921875
2022-01-06,7940.0,8268.283,1.0,4.134549157745592
2022-01-07,7940.0,8221.121,1.0,3.5405679313602016
2022-01-08,8310.0,8158.779,1.0,2.7554006120119645
2022-01-09,8270.0,8121.2236,-1.0,-2.2716771021359805
2022-01-10,8550.0,8099.5054,-1.0,-2.061603735262999
2022-01-11,8610.0,8113.247,-1.0,-5.108221399853801
2022-01-12,8470.0,8154.5054,-1.0,-5.290297664416376
2022-01-13,8470.0,8199.548,-1.0,-3.1930596037485244
2022-01-14,8470.0,8243.685,-1.0,-2.6719649313754426
2022-01-15,8080.0,8283.6045,-1.0,-2.20065534607438
2022-01-16,8050.0,8285.207,1.0,2.5396909808168315
2022-01-17,8200.0,8258.577,1.0,2.591020477484472
2022-01-18,7800.0,8227.146,0.0,0.3310546875
2022-01-19,7730.0,8161.7554,1.0,4.637889372996796
2022-01-20,7730.0,8073.2324,1.0,4.44026418984476
2022-01-21,7730.0,7976.018,1.0,3.1826399276358344
2022-01-22,7420.0,7880.549,1.0,1.9475915669469597
2022-01-23,7070.0,7768.4424,1.0,4.695988986691375
2022-01-24,6890.0,7625.7236,1.0,7.860305980374823
2022-01-25,6570.0,7459.2637,1.0,8.262172305878083
2022-01-26,6680.0,7264.0728,1.0,10.564273271023591
2022-01-27,6680.0,7074.0713,1.0,5.899270794348802
2022-01-28,6680.0,6902.421,1.0,3.3296541682260474
2022-01-29,6950.0,6756.7905,1.0,1.1495587925711077
2022-01-30,6860.0,6662.087,-1.0,-4.142634330035971
