Date,Close,Predictions,Growth,Growth Percent
2017-09-11,726.0,687.67786,,
2017-09-12,739.0,680.36646,-1.0,-6.285612248192149
2017-09-13,758.0,679.4733,-1.0,-8.055030089753892
2017-09-14,758.0,687.7332,-1.0,-9.270024362528858
2017-09-15,758.0,695.48846,-1.0,-8.246904438592512
2017-09-16,750.0,700.16125,-1.0,-7.630441308336082
2017-09-17,741.0,699.16504,-1.0,-6.777994791666667
2017-09-18,751.0,693.528,-1.0,-6.406475690051451
2017-09-19,746.0,692.3381,-1.0,-7.811175268912283
2017-09-20,780.0,691.0163,-1.0,-7.370469653254859
2017-09-21,780.0,702.7725,-1.0,-9.900958721454327
2017-09-22,780.0,713.8586,-1.0,-8.479669032952724
2017-09-23,789.0,720.6213,-1.0,-7.612656813401442
2017-09-24,781.0,726.8998,-1.0,-7.87075028220057
2017-09-25,777.0,727.6643,-1.0,-6.829154079305377
2017-09-26,780.0,725.0869,-1.0,-6.681220841377092
2017-09-27,784.0,723.6639,-1.0,-7.222579564803685
2017-09-28,784.0,724.6581,-1.0,-7.569122314453125
2017-09-29,784.0,726.07733,-1.0,-7.3880954664580685
2017-09-30,784.0,727.1958,-1.0,-7.245433573820153
2017-10-01,784.0,727.89154,-1.0,-7.156691259267378
2017-10-02,752.0,728.26166,-1.0,-7.109482434331155
2017-10-03,737.0,716.61365,-1.0,-4.70563198657746
2017-10-04,737.0,700.44714,-1.0,-4.959682014289349
2017-10-05,737.0,689.1119,-1.0,-6.497709980813263
2017-10-06,737.0,683.48474,-1.0,-7.261229143699118
2017-10-07,716.0,681.68756,-1.0,-7.50507991381869
2017-10-08,691.0,673.947,-1.0,-5.873321021735335
2017-10-09,699.0,658.184,-1.0,-4.749056295789616
2017-10-10,702.0,648.92816,-1.0,-7.163353130029507
2017-10-11,699.0,645.99713,-1.0,-7.977616617142984
2017-10-12,699.0,644.789,-1.0,-7.755507658820637
2017-10-13,699.0,644.4286,-1.0,-7.807068831589771
2017-10-14,720.0,644.29834,-1.0,-7.825702454399142
2017-10-15,721.0,651.85693,-1.0,-9.464314778645834
2017-10-16,716.0,658.953,-1.0,-8.60568614012656
2017-10-17,713.0,661.25775,-1.0,-7.645565437870985
2017-10-18,707.0,660.0763,-1.0,-7.422679671064166
2017-10-19,707.0,656.0145,-1.0,-7.211523851882956
2017-10-20,707.0,652.6101,-1.0,-7.693054112888967
2017-10-21,704.0,650.6841,-1.0,-7.965476374646394
2017-10-22,694.0,648.85443,-1.0,-7.833177393132989
2017-10-23,676.0,644.12476,-1.0,-7.186634602395533
2017-10-24,678.0,633.7743,-1.0,-6.246406510031434
2017-10-25,671.0,626.4991,-1.0,-7.596005240021202
2017-10-26,671.0,620.2843,-1.0,-7.558226265601714
2017-10-27,671.0,616.75256,-1.0,-8.084565800810358
2017-10-28,677.0,615.3237,-1.0,-8.297506636549926
2017-10-29,675.0,617.2155,-1.0,-8.830795400780096
2017-10-30,693.0,618.5389,-1.0,-8.364610460069443
2017-10-31,723.0,625.73956,-1.0,-9.705690766481782
2017-11-01,722.0,642.8383,-1.0,-11.087369589060339
2017-11-02,722.0,655.8332,-1.0,-9.164377989201004
2017-11-03,722.0,662.65466,-1.0,-8.219575749870152
2017-11-04,716.0,665.0108,-1.0,-7.893240550878636
2017-11-05,733.0,662.907,-1.0,-7.415225918732542
2017-11-06,721.0,666.60187,-1.0,-9.058408229770635
2017-11-07,706.0,666.2062,-1.0,-7.599698091842927
2017-11-08,704.0,659.41907,-1.0,-6.59786580979993
2017-11-09,704.0,652.77386,-1.0,-7.276439666748047
2017-11-10,704.0,648.80676,-1.0,-7.839948480779474
